timestep,generation,time,collection_time,train_time,return,episode_length,entropy,policy_loss,kl_approx,clip_fraction,ESS,value_loss,explained_variance
1000,1,62.461905002593994,61.95018696784973,0.48567771911621094,0.008571435697376728,14.285714149475098,1.0286548137664795,0.30399775265620377,0.023488182587549845,0.33944165783476843,0.9599455316660299,0.011877531230761205,0.03747709645511302
2000,2,117.99686002731323,116.94237899780273,0.9856410026550293,-0.0065573640167713165,16.393442153930664,1.0028952360153198,0.0923693433771959,0.03649140683938956,0.3767614273539269,0.9485532769618237,0.00482359484411384,0.5815369107205894
3000,3,180.82518219947815,179.2141649723053,1.5030920505523682,0.0726027563214302,13.698630332946777,0.9744841456413269,0.0023152693232792,0.055696800090334855,0.45790538650298673,0.8934317711044066,0.009426758379872047,0.7728292043617515
4000,4,257.2275161743164,254.9997820854187,2.0027410984039307,0.20476193726062775,11.904762268066406,0.9360365867614746,-0.0827006254676076,0.0367573785204556,0.508474518201942,0.9479474001109459,0.01270360173839485,0.8099394560125766
5000,5,342.67250204086304,339.91168904304504,2.4835901260375977,0.395283043384552,9.433961868286133,0.8803519010543823,-0.18382145444843345,0.12433150039782162,0.5553095367999881,0.9036690076451541,0.01912001926006818,0.7414204786033916
6000,6,405.759104013443,402.4616539478302,2.97827410697937,0.8000000715255737,13.698630332946777,0.7022017240524292,-0.14927740365380587,0.0342104859218839,0.3733345184636286,0.9562901438584911,0.004751797897969026,0.6738472056766786
7000,7,475.07251596450806,471.2314019203186,3.4786531925201416,0.8690476417541504,11.904762268066406,0.6041117906570435,-0.04688406457784495,0.03180967915967457,0.4810830905544651,0.9450408638668886,0.0009357342035728894,0.7478285199345667
8000,8,553.2099297046661,548.8220529556274,3.9784271717071533,0.8888888955116272,10.1010103225708,0.5189765095710754,-0.021335224302170077,0.06801268970330282,0.43095825352279765,0.9240034188507587,0.0008851625900929494,0.7350015535480928
9000,9,641.4267747402191,636.482589006424,4.482802152633667,0.9051724076271057,8.620689392089844,0.38028866052627563,-0.017401069246931525,0.05204368040778399,0.29804858103471255,0.9475351541014709,0.00018598918393752074,0.8849873100711264
10000,10,738.6777665615082,733.0263409614563,5.128349304199219,0.9147287011146545,7.7519378662109375,0.22568181157112122,-0.010376071136192516,0.01294344840132729,0.1963040158727098,0.9804724585547122,5.997231593449537e-05,0.9526945197078228
11000,11,840.496378660202,834.277745962143,5.6383092403411865,0.9197080135345459,7.299270153045654,0.1478925347328186,-0.0012818115079477914,0.014035798258822074,0.04536706242751785,0.9782495225537194,2.009562835029638e-05,0.9792073331280869
12000,12,946.032069683075,939.1282911300659,6.170945405960083,0.9219858050346375,7.092198371887207,0.07488881051540375,-0.0018705227010563262,0.005413386203293998,0.022469492240030916,0.9959531247851617,1.1211338302274008e-05,0.9870361527210841
13000,13,1071.3694047927856,1063.88826918602,6.683499336242676,0.9225351214408875,7.042253494262695,0.049660373479127884,-0.0014971081205902934,0.00036775658522246023,0.008145858484054327,0.9990117103862292,4.012119805791503e-06,0.9956887424556304
